MLA Name,Split,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,AUC_train,AUC_test,Balanced Accuracy_train,Balanced Accuracy_test
XGBClassifier_RFE_15_None,6.0,0.7918128654970761,0.7391304347826086,0.3866666666666666,0.3333333333333333,0.26666666666666666,0.2,0.27999999999999997,0.25,0.5631746031746031,0.8777777777777778,0.5923809523809525,0.5444444444444444
SVC_RFE_15_None,7.0,0.5935672514619884,0.34782608695652173,0.316031746031746,0.14285714285714285,0.8833333333333332,0.4,0.4627150627150628,0.21052631578947367,0.8030952380952382,0.8333333333333334,0.7011904761904761,0.3666666666666667
SVC_None_10_RandomUnderSampler,2.0,0.41785714285714287,0.6956521739130435,0.25142857142857145,0.0,0.5,0.0,0.3288888888888889,0.0,0.14166666666666666,0.8333333333333334,0.475,0.4444444444444444
SVC_MutualInfo_25_None,5.0,0.8023391812865498,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.32261904761904764,0.8333333333333334,0.5,0.5
RandomForestClassifier_RFE_15_None,6.0,0.8245614035087719,0.782608695652174,0.2,0.0,0.1,0.0,0.13333333333333333,0.0,0.6483333333333333,0.8333333333333333,0.55,0.5
XGBClassifier_RFE_15_SMOTE-TOMEK,6.0,0.8839080459770114,0.6956521739130435,0.8635042735042736,0.3333333333333333,0.9314285714285715,0.4,0.8922366522366522,0.36363636363636365,0.9459047619047618,0.8111111111111111,0.8828571428571429,0.5888888888888889
SVC_None_10_None,5.0,0.7163742690058479,0.6086956521739131,0.25857142857142856,0.0,0.2833333333333333,0.0,0.25303030303030305,0.0,0.5211904761904762,0.8111111111111111,0.5530952380952381,0.3888888888888889
XGBClassifier_RFE_15_SMOTE,6.0,0.8839080459770114,0.6956521739130435,0.8635042735042736,0.3333333333333333,0.9314285714285715,0.4,0.8922366522366522,0.36363636363636365,0.9459047619047618,0.8111111111111111,0.8828571428571429,0.5888888888888889
RandomForestClassifier_MutualInfo_15_SMOTE-TOMEK,6.0,0.9312643678160919,0.8260869565217391,0.9380392156862744,1.0,0.9323809523809523,0.2,0.9327779837679728,0.3333333333333333,0.9782222222222222,0.8,0.931904761904762,0.6
RandomForestClassifier_RFE_20_None,6.0,0.8134502923976609,0.782608695652174,0.2,0.0,0.05,0.0,0.08,0.0,0.611111111111111,0.8,0.525,0.5
RandomForestClassifier_MutualInfo_10_SMOTE,6.0,0.8974712643678162,0.8260869565217391,0.9304761904761903,0.6,0.8638095238095238,0.6,0.8941609195402298,0.6,0.9428888888888889,0.788888888888889,0.8971428571428571,0.7444444444444445
SVC_None_10_None,4.0,0.8134502923976609,0.782608695652174,0.2,0.0,0.05,0.0,0.08,0.0,0.46261904761904765,0.788888888888889,0.525,0.5
RandomForestClassifier_MutualInfo_25_BorderlineSMOTE,6.0,0.93816091954023,0.782608695652174,0.9590476190476191,0.0,0.9180952380952381,0.0,0.9378471081919357,0.0,0.9528571428571428,0.788888888888889,0.9380952380952381,0.5
XGBClassifier_MutualInfo_15_ADASYN,6.0,0.8482758620689654,0.8695652173913043,0.8411764705882353,1.0,0.8742857142857142,0.4,0.8528817204301076,0.5714285714285714,0.919047619047619,0.7888888888888889,0.8476190476190476,0.7
SVC_MutualInfo_20_None,3.0,0.7812865497076025,0.5652173913043478,0.35,0.0,0.16666666666666666,0.0,0.21000000000000002,0.0,0.5159523809523809,0.7888888888888889,0.5495238095238095,0.3611111111111111
SVC_MutualInfo_25_None,3.0,0.7912280701754385,0.6086956521739131,0.5333333333333333,0.0,0.2833333333333333,0.0,0.3571428571428571,0.0,0.5498412698412698,0.7888888888888888,0.6002380952380952,0.3888888888888889
XGBClassifier_MutualInfo_15_SMOTE,9.0,0.8427586206896551,0.7391304347826086,0.8426206636500755,0.4,0.8485714285714285,0.4,0.8443160095579451,0.4,0.9020952380952382,0.7777777777777778,0.8419047619047617,0.6166666666666667
